# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_1.data.R
# init = 2 (Default)
# random
#   seed = 1286197944 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_1.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2868.85,1.29677e-21,0.305326,1,3,1,2869.13,357.042,5.86299,-3.41286,0.336206,-0.596366,0.643071,0.143736,-12.8324,-0.170652
-2868.85,1.21317e-280,0.305326,1,1,0,2869.18,357.042,5.86299,-3.41286,0.0688206,0.389718,-0.904622,0.143736,-12.8324,-0.170652
-2868.85,2.88252e-144,0.305326,1,1,0,2869.09,357.042,5.86299,-3.41286,0.417054,-0.784959,-0.274959,0.143736,-12.8324,-0.170652
-2868.85,1.74771e-66,0.305326,1,1,0,2870.96,357.042,5.86299,-3.41286,0.385364,3.1409,0.579976,0.143736,-12.8324,-0.170652
-2868.85,0.000319987,0.305326,1,2,1,2869.89,357.042,5.86299,-3.41286,0.96198,1.3208,-0.702023,0.143736,-12.8324,-0.170652
-2868.85,1.84581e-47,0.305326,1,2,1,2871.13,357.042,5.86299,-3.41286,-0.367049,1.30464,2.24889,0.143736,-12.8324,-0.170652
-2868.85,5.19548e-14,0.305326,1,2,1,2869.25,357.042,5.86299,-3.41286,0.266543,1.21109,0.44779,0.143736,-12.8324,-0.170652
-2868.85,4.34792e-29,0.305326,2,3,0,2870.07,357.042,5.86299,-3.41286,-0.569511,-1.24383,-1.41133,0.143736,-12.8324,-0.170652
-2868.85,8.6977e-08,0.305326,1,2,1,2869.83,357.042,5.86299,-3.41286,-0.856403,0.984385,-1.0092,0.143736,-12.8324,-0.170652
-2868.91,0.118638,0.305326,1,2,1,2871.48,356.984,5.86233,-3.65359,0.186559,-3.35823,1.0132,0.123194,-22.034,-0.325718
-2868.91,2.0766e-13,0.305326,1,2,1,2871.37,356.984,5.86233,-3.65359,0.870324,-2.25851,1.68485,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,1,2,1,2869.38,356.984,5.86233,-3.65359,0.098621,0.353638,1.08269,0.123194,-22.034,-0.325718
-2868.91,5.20271e-311,0.305326,1,2,1,2869.73,356.984,5.86233,-3.65359,1.04703,1.00441,-0.056295,0.123194,-22.034,-0.325718
-2868.91,2.90539e-180,0.305326,1,2,1,2872.36,356.984,5.86233,-3.65359,1.65686,0.675696,2.20862,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2871.91,356.984,5.86233,-3.65359,-2.27461,0.41998,0.317593,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.82,356.984,5.86233,-3.65359,0.225786,-2.13373,0.101559,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2871.3,356.984,5.86233,-3.65359,-2.02171,0.374816,0.387807,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.15,356.984,5.86233,-3.65359,-0.600539,0.238603,0.278029,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.23,356.984,5.86233,-3.65359,0.00608681,-1.28827,-0.109634,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.5,356.984,5.86233,-3.65359,0.626958,1.07384,-0.616433,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.97,356.984,5.86233,-3.65359,0.314716,-0.527191,-1.59713,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.12,356.984,5.86233,-3.65359,-0.434416,-0.665763,0.189686,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.86,356.984,5.86233,-3.65359,-0.614483,1.80437,0.551696,0.123194,-22.034,-0.325718
-2868.91,8.48791e-36,0.305326,1,2,1,2870.51,356.984,5.86233,-3.65359,0.721752,-1.88829,1.28781,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.28,356.984,5.86233,-3.65359,-0.615587,-0.711597,-0.410714,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,1,2,1,2869.41,356.984,5.86233,-3.65359,-0.288661,-1.28629,-0.589216,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2871.63,356.984,5.86233,-3.65359,-1.20144,-1.98768,-1.75724,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.37,356.984,5.86233,-3.65359,-0.409102,-1.10611,-0.593375,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2870.7,356.984,5.86233,-3.65359,1.2221,1.29295,1.30006,0.123194,-22.034,-0.325718
-2868.91,2.47753e-78,0.305326,1,2,1,2871.04,356.984,5.86233,-3.65359,0.479612,-0.384716,2.30667,0.123194,-22.034,-0.325718
-2868.91,3.19511e-56,0.305326,1,2,1,2871.85,356.984,5.86233,-3.65359,1.88192,1.84276,-0.874241,0.123194,-22.034,-0.325718
-2868.91,7.02785e-264,0.305326,1,2,1,2869.67,356.984,5.86233,-3.65359,0.288922,0.187612,1.3751,0.123194,-22.034,-0.325718
-2868.91,3.52903e-276,0.305326,1,2,1,2869.54,356.984,5.86233,-3.65359,-0.0360269,0.15704,1.29886,0.123194,-22.034,-0.325718
-2868.91,4.37819e-309,0.305326,1,2,1,2870.35,356.984,5.86233,-3.65359,0.995621,0.564064,1.48851,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.5,356.984,5.86233,-3.65359,-0.53675,1.2466,-0.588464,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.32,356.984,5.86233,-3.65359,-0.739734,-0.624621,-0.275886,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2870.24,356.984,5.86233,-3.65359,1.20081,-1.59144,0.28367,0.123194,-22.034,-0.325718
-2868.91,4.22333e-82,0.305326,2,4,1,2870.68,356.984,5.86233,-3.65359,-0.871154,-0.825518,1.8029,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,0,1,1,2869.49,356.984,5.86233,-3.65359,0.298742,-1.158,0.860296,0.123194,-22.034,-0.325718
-2868.91,0,0.305326,1,2,1,2869.07,356.984,5.86233,-3.65359,0.26566,-0.727021,0.194825,0.123194,-22.034,-0.325718
