# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# start_datetime = 2022-09-16 08:52:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_1.data.R
# init = 2 (Default)
# random
#   seed = 1286197944 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_1.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,strength_post_pred
# Adaptation terminated
# Step size = 0.305326
# Diagonal elements of inverse mass matrix:
# 1.13052, 0.385089, 0.741755
-2868.93,0,0.305326,0,1,1,2870.26,357.088,5.86347,0.0235424,371.299
-2868.93,0,0.305326,0,1,1,2869.6,357.088,5.86347,0.0235424,353.513
-2868.93,2.59961e-269,0.305326,1,2,1,2869.91,357.088,5.86347,0.0235424,341.999
-2868.93,0,0.305326,0,1,1,2870.3,357.088,5.86347,0.0235424,339.14
-2868.93,0,0.305326,0,1,1,2869.56,357.088,5.86347,0.0235424,343.017
-2868.93,0,0.305326,0,1,1,2869.09,357.088,5.86347,0.0235424,361.368
-2868.93,0,0.305326,0,1,1,2873.18,357.088,5.86347,0.0235424,345.243
-2868.93,0,0.305326,0,1,1,2870.35,357.088,5.86347,0.0235424,335.759
-2868.93,3.39463e-76,0.305326,1,2,1,2870.41,357.088,5.86347,0.0235424,353.971
-2868.93,0,0.305326,0,1,1,2869.18,357.088,5.86347,0.0235424,362.237
-2868.93,0,0.305326,0,1,1,2870,357.088,5.86347,0.0235424,355.625
-2868.93,0,0.305326,0,1,1,2869.64,357.088,5.86347,0.0235424,344.865
-2868.93,0,0.305326,0,1,1,2869.15,357.088,5.86347,0.0235424,342.588
-2868.93,0,0.305326,0,1,1,2870.25,357.088,5.86347,0.0235424,359.625
-2868.93,0,0.305326,0,1,1,2869.82,357.088,5.86347,0.0235424,350.763
-2868.93,0,0.305326,1,2,1,2870.82,357.088,5.86347,0.0235424,351.273
-2868.93,0,0.305326,0,1,1,2869.45,357.088,5.86347,0.0235424,346.676
-2868.93,0,0.305326,0,1,1,2873.04,357.088,5.86347,0.0235424,365.884
-2868.93,1.46219e-209,0.305326,1,2,1,2871.04,357.088,5.86347,0.0235424,339.358
-2868.93,0,0.305326,0,1,1,2870.87,357.088,5.86347,0.0235424,352.211
-2868.93,0,0.305326,0,1,1,2872.74,357.088,5.86347,0.0235424,356.384
-2868.93,0,0.305326,0,1,1,2871.91,357.088,5.86347,0.0235424,339.993
-2868.93,0,0.305326,0,1,1,2869.68,357.088,5.86347,0.0235424,358.655
-2868.93,4.78572e-225,0.305326,1,2,1,2870.67,357.088,5.86347,0.0235424,345.101
-2868.93,0,0.305326,0,1,1,2869.98,357.088,5.86347,0.0235424,343.409
-2868.93,0,0.305326,0,1,1,2870.33,357.088,5.86347,0.0235424,349.877
-2868.93,0,0.305326,0,1,1,2871.9,357.088,5.86347,0.0235424,341.022
-2868.93,0,0.305326,0,1,1,2869.95,357.088,5.86347,0.0235424,346.925
-2868.93,1.46255e-65,0.305326,1,2,1,2870.68,357.088,5.86347,0.0235424,343.44
-2868.93,0,0.305326,0,1,1,2869.44,357.088,5.86347,0.0235424,351.753
-2868.93,7.11719e-50,0.305326,1,2,1,2871.79,357.088,5.86347,0.0235424,348.364
-2868.93,0,0.305326,0,1,1,2872.15,357.088,5.86347,0.0235424,349.7
-2868.93,0,0.305326,0,1,1,2872.13,357.088,5.86347,0.0235424,344.402
-2868.93,0,0.305326,0,1,1,2869.06,357.088,5.86347,0.0235424,342.94
-2868.93,0,0.305326,0,1,1,2870.27,357.088,5.86347,0.0235424,346.419
-2868.93,0,0.305326,0,1,1,2870.74,357.088,5.86347,0.0235424,344.955
-2868.93,2.4126e-17,0.305326,1,1,0,2872.61,357.088,5.86347,0.0235424,360.066
