# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_2.data.R
# init = 2 (Default)
# random
#   seed = 1286197972 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_2.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_2.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2869.65,1,0.404006,3,7,0,2871.08,356.14,5.33971,-0.581068,-0.386713,-2.15599,0.301672,-0.611545,-1.37253,-0.357799
-2869.97,0.933544,0.404006,3,7,0,2871.68,355.602,5.96316,-0.753563,-1.26233,1.47988,0.323679,-1.04781,1.36648,0.434649
-2870.16,0.995344,0.404006,3,7,0,2871.24,356.041,5.32104,0.333205,1.06989,-1.06867,-0.054546,-0.694662,0.0365258,1.23781
-2868.94,0.579376,0.404006,2,5,1,2871.3,356.75,5.89994,-1.73263,0.649349,1.47075,-1.9446,-0.130534,1.63261,0.160036
-2868.94,0.0290602,0.404006,3,7,0,2870.7,356.75,5.89994,-1.73263,-0.69929,-2.11552,0.700406,-0.130534,1.63261,0.160036
-2868.94,0.0129444,0.404006,2,3,0,2870.69,356.75,5.89994,-1.73263,-0.49467,-2.37564,-0.224603,-0.130534,1.63261,0.160036
-2869.08,0.356038,0.404006,3,15,0,2869.64,357.442,5.86725,-1.37447,-0.520754,-0.798194,-0.728597,0.426204,0.684051,0.250825
-2870.15,0.671731,0.404006,3,7,0,2871.04,358.037,6.15484,-0.924414,0.504321,-0.524645,-1.28788,0.896993,2.8967,-0.0808626
-2869.26,0.936958,0.404006,2,3,0,2871.01,357.077,5.80528,-0.549624,-0.853386,-2.05241,0.502542,0.134461,0.587104,0.561311
-2869.8,0.781714,0.404006,2,7,0,2870.3,358.286,5.7281,-1.44661,-0.196757,-0.769832,0.886692,1.10825,-2.03795,-0.18848
-2869.33,0.948699,0.404006,2,7,0,2870.34,357.306,5.99757,-0.962794,1.12968,0.0585565,-0.651518,0.314531,1.81366,0.284727
-2870.64,0.669004,0.404006,2,6,1,2871.26,357.334,5.66819,0.696854,-0.212225,-1.00252,0.890408,0.338981,0.615959,1.99643
-2871.01,0.98059,0.404006,2,3,0,2871.3,357.66,5.54717,0.826416,-0.0776483,0.487529,0.757983,0.599748,0.483508,2.26395
-2870.54,0.985655,0.404006,2,7,0,2872.01,356.537,6.00185,0.500135,-1.01513,0.639652,-1.30041,-0.29833,1.04797,1.64316
-2869.58,0.998974,0.404006,3,7,0,2870.97,356.334,5.33818,-0.152486,0.0120027,1.51769,1.38373,-0.458567,-0.39125,0.466364
